Fecha,TipCon,Lat,Lon,Velocidad de bajada,BajadaBytes,Velocidad de subida,SubidaBytes,Latencia,Servidor,IPinterna,IPexterna,URL
"11/05/2026, 22:08",3G,39.6640964,-0.2291211,10.992,18222212,3.88,6773440,34,Paterna,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,https://www.speedtest.net/my-result/a/11612298025
"11/05/2026, 22:06",3G,39.6640964,-0.2291211,10.792,16845968,3.992,6763724,29,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612295198
"11/05/2026, 22:05",3G,39.6640964,-0.2291211,9.824,15912942,3.936,6737352,30,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612292589
"11/05/2026, 22:03",3G,39.6616686,-0.2182463,9.632,15303912,3.968,6891420,30,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612290382
"11/05/2026, 22:02",3G,39.6616686,-0.2182463,7.688,13108404,3.84,6617984,33,Valencia,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,https://www.speedtest.net/my-result/a/11612288027
"11/05/2026, 22:00",3G,39.6616686,-0.2182463,8.656,13472248,3.952,6890032,29,Valencia,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,https://www.speedtest.net/my-result/a/11612285619
"11/05/2026, 21:58",3G,39.6616686,-0.2182463,3.36,4930008,2.664,3991888,31,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612283314
"11/05/2026, 21:57",3G,39.6616686,-0.2182463,6.768,11285124,3.688,5917044,49,Valencia,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,https://www.speedtest.net/my-result/a/11612280780
"11/05/2026, 21:55",3G,39.6616686,-0.2182463,6.056,8942144,3.472,5493704,48,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612278336
"11/05/2026, 21:54",3G,39.6616686,-0.2182463,4.112,6908466,1.56,2424836,31,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612275908
"11/05/2026, 21:52",3G,39.6616686,-0.2182463,8.648,12633576,1.104,1833548,48,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612273414
"11/05/2026, 21:50",3G,39.6616686,-0.2182463,9.624,13549186,1.696,2267992,28,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612271172
"11/05/2026, 21:49",3G,39.6616686,-0.2182463,8.376,13593819,1.744,2727420,31,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612268544
"11/05/2026, 21:47",3G,39.6615022,-0.2179524,6.528,9907544,1.016,1825220,29,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/11612265460
"11/05/2026, 21:37",3G,39.6560062,-0.2117436,5.856,9743828,0.376,659023,31,Paterna,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,https://www.speedtest.net/my-result/a/11612251955
"11/05/2026, 21:31",3G,39.6560062,-0.2117436,6.256,8625966,0.072,369208,30,Valencia,10.73.124.78,95.127.44.248,https://www.speedtest.net/my-result/a/-1
"11/05/2026, 21:28",3G,39.6558083,-0.2101892,5.776,7930956,2.552,3915548,38,Valencia,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,https://www.speedtest.net/my-result/a/11612236343
"11/05/2026, 21:25",3G,39.6562769,-0.2094187,10.688,16534981,0.0,7163,45,Valencia,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,https://www.speedtest.net/my-result/a/-1
"11/05/2026, 21:22",3G,39.6566823,-0.2086948,6.52,9892000,3.144,5025948,36,Valencia,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,2a02:9130:fc02:d82f:8a8:94ff:feff:a0fc,https://www.speedtest.net/my-result/a/11612227346
