Fecha,TipCon,Lat,Lon,Velocidad de bajada,BajadaBytes,Velocidad de subida,SubidaBytes,Latencia,Servidor,IPinterna,IPexterna,URL
"12/05/2026, 21:26",LTE,39.6562858,-0.2087914,23.096,35211036,11.4,15152796,41,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614374374
"12/05/2026, 21:22",LTE,39.6568493,-0.2116415,23.976,27783572,30.072,50718908,31,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614368930
"12/05/2026, 21:21",LTE,39.6568493,-0.2116415,10.328,15153856,9.016,15063964,35,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614366502
"12/05/2026, 21:19",LTE,39.6568493,-0.2116415,25.152,40815840,16.48,28023720,35,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614363894
"12/05/2026, 21:18",LTE,39.6634344,-0.2240378,39.328,59618676,16.344,12142224,50,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614360656
"12/05/2026, 21:16",LTE,39.6634344,-0.2240378,16.448,24880734,11.048,18227216,34,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614358174
"12/05/2026, 21:14",LTE,39.6634344,-0.2240378,39.072,42614376,22.888,38611384,50,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614355205
"12/05/2026, 21:13",LTE,39.6634344,-0.2240378,49.168,78773080,22.288,10498832,37,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614352617
"12/05/2026, 21:11",LTE,39.6634344,-0.2240378,68.616,84524236,51.432,66828036,44,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614350011
"12/05/2026, 21:10",LTE,39.6634344,-0.2240378,64.944,101278872,49.496,68940572,59,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614347410
"12/05/2026, 21:08",LTE,39.6634344,-0.2240378,69.792,98999100,44.184,52861980,37,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614344700
"12/05/2026, 21:07",LTE,39.6634344,-0.2240378,41.048,68249624,41.552,38655800,55,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614341813
"12/05/2026, 21:05",LTE,39.6634344,-0.2240378,39.072,48184612,39.248,49833364,34,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614338834
"12/05/2026, 21:04",LTE,39.6634344,-0.2240378,74.048,122411408,47.936,40103484,52,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614336312
"12/05/2026, 21:02",LTE,39.6634344,-0.2240378,64.744,37067568,53.352,64811272,56,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614333603
"12/05/2026, 21:01",LTE,39.6634344,-0.2240378,47.504,44311868,35.864,59364760,37,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614331296
"12/05/2026, 20:59",LTE,39.6634344,-0.2240378,32.288,34023532,26.344,28748256,32,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614328208
"12/05/2026, 20:58",LTE,39.6634344,-0.2240378,14.512,19840072,20.808,26302600,27,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614325797
"12/05/2026, 20:57",LTE,39.6636312,-0.225002,21.736,20064928,37.328,35070596,48,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614323236
"12/05/2026, 20:55",LTE,39.6638917,-0.2260597,13.64,21926790,28.704,34441832,46,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614320494
"12/05/2026, 20:53",LTE,39.6641886,-0.2270285,193.552,156634412,44.368,45040600,24,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614316918
"12/05/2026, 20:52",LTE,39.6641907,-0.227883,24.304,18279960,40.528,26388656,32,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614314134
"12/05/2026, 20:50",LTE,39.6637433,-0.2299075,12.72,18693572,27.704,35277408,33,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614311610
"12/05/2026, 20:48",LTE,39.6637433,-0.2299075,15.736,25289360,22.672,28637216,25,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614308740
"12/05/2026, 20:47",LTE,39.6631315,-0.2298917,30.024,46610428,21.608,36661244,30,Valencia,10.57.139.62,88.28.31.22,https://www.speedtest.net/my-result/a/11614306159
